text	count	kinds	refs
编辑 LaTeX	2	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/LatexToolbar.vue:5,src/views/Editor/Toolbar/ElementStylePanel/LatexStylePanel.vue:4
翻转	2	literal	src/configs/animation.ts:72,src/configs/animation.ts:163
行内代码	2	literal	src/configs/hotkey.ts:132,src/views/Editor/Toolbar/common/RichTextBase.vue:115
行数/列数必须在0~20之间！	2	literal	src/views/Editor/CanvasTool/TableGenerator.vue:82,src/views/Editor/CanvasTool/TableGenerator.vue:83
行间距：	2	template	src/views/Editor/Toolbar/ElementStylePanel/ShapeStylePanel.vue:109,src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:18
观众视图	2	literal,template	src/views/Screen/BaseView.vue:49,src/views/Screen/PresenterView.vue:5
视频加载失败	2	literal,template	src/views/components/element/AudioElement/AudioPlayer.vue:187,src/views/components/element/VideoElement/VideoPlayer/index.vue:14
风景	2	literal	src/views/Editor/ImageLibPanel.vue:116,src/views/Editor/ImageLibPanel.vue:156
1-垂直：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:176
1-水平：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:166
2-垂直：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:198
2-水平：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:188
2025科技前沿动态	1	literal	src/views/Editor/AIPPTDialog.vue:161
5G技术如何改变我们的生活	1	literal	src/views/Editor/AIPPTDialog.vue:166
<p>新添加文本</p>	1	literal	src/views/Mobile/MobileEditor/SlideToolbar.vue:61
>主题色：<span class=	1	literal	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:50
>从下方挑选合适的模板生成PPT，或<span class=	1	literal	src/views/Editor/AIPPTDialog.vue:5
AIGC在教育领域的应用	1	literal	src/views/Editor/AIPPTDialog.vue:164
AI搜图	1	literal	src/views/Editor/AIPPTDialog.vue:77
AI生图	1	literal	src/views/Editor/AIPPTDialog.vue:78
AI辅助	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:136
Ctrl + 鼠标滚轮	1	literal	src/configs/hotkey.ts:77
Space + 鼠标拖拽	1	literal	src/configs/hotkey.ts:76
X轴翻转进入	1	literal	src/configs/animation.ts:74
X轴翻转退出	1	literal	src/configs/animation.ts:165
Y轴翻转进入	1	literal	src/configs/animation.ts:75
Y轴翻转退出	1	literal	src/configs/animation.ts:166
{{ fullscreenState ? 'Выйти из полноэкранного режима' : '全屏' }}	1	template	src/views/Screen/PresenterView.vue:12
{{playbackRate === 1 ? '倍速' : (playbackRate + 'x')}}	1	template	src/views/components/element/VideoElement/VideoPlayer/index.vue:80
七边形	1	literal	src/configs/imageClip.ts:110
三角形	1	literal	src/configs/imageClip.ts:62
上一页（未选中元素）	1	literal	src/configs/hotkey.ts:81
上下摇晃	1	literal	src/configs/animation.ts:195
上传.pptist格式模板文件	1	literal	src/views/Editor/AIPPTDialog.vue:5
上传图片	1	template	src/views/Editor/CanvasTool/index.vue:71
上方插入行	1	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/TableToolbar.vue:19
上方添加	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:121
上方添加同级大纲（章）	1	literal	src/components/OutlineEditor.vue:207
上方添加同级大纲（节）	1	literal	src/components/OutlineEditor.vue:223
上方添加同级大纲（项）	1	literal	src/components/OutlineEditor.vue:238
上标	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:103
上角标	1	literal	src/configs/hotkey.ts:133
下一页（未选中元素）	1	literal	src/configs/hotkey.ts:82
下方插入行	1	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/TableToolbar.vue:20
下方添加	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:122
下方添加同级大纲（项）	1	literal	src/components/OutlineEditor.vue:242
下标	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:109
下角标	1	literal	src/configs/hotkey.ts:134
不透明度：	1	template	src/views/Editor/Toolbar/common/ElementOpacity.vue:4
主题	1	literal	src/components/OutlineEditor.vue:338
主题色：	1	template	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:50
主题配色{{ index + 1 }}：	1	template	src/views/Editor/Toolbar/ElementStylePanel/ChartStylePanel/ThemeColorsSetting.vue:7
主题颜色：	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:182
五边形	1	literal	src/configs/imageClip.ts:94
人字形	1	literal	src/configs/imageClip.ts:126
从下方挑选合适的模板生成PPT，或	1	template	src/views/Editor/AIPPTDialog.vue:5
从全部幻灯片提取	1	literal	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:92
从右上浮入	1	literal	src/configs/animation.ts:33
从右上浮出	1	literal	src/configs/animation.ts:124
从右下浮入	1	literal	src/configs/animation.ts:35
从右下浮出	1	literal	src/configs/animation.ts:126
从右放大滑入	1	literal	src/configs/animation.ts:84
从右放大进入	1	literal	src/configs/animation.ts:56
从右滑入	1	literal	src/configs/animation.ts:65
从右滑出	1	literal	src/configs/animation.ts:157
从右缩小滑出	1	literal	src/configs/animation.ts:175
从右缩小退出	1	literal	src/configs/animation.ts:147
从右飞入	1	literal	src/configs/animation.ts:92
从右飞出	1	literal	src/configs/animation.ts:183
从头开始	1	template	src/views/Editor/EditorHeader/index.vue:83
从头开始放映幻灯片	1	literal	src/configs/hotkey.ts:64
从左上浮入	1	literal	src/configs/animation.ts:32
从左上浮出	1	literal	src/configs/animation.ts:123
从左下浮入	1	literal	src/configs/animation.ts:34
从左下浮出	1	literal	src/configs/animation.ts:125
从左放大滑入	1	literal	src/configs/animation.ts:83
从左放大进入	1	literal	src/configs/animation.ts:55
从左滑入	1	literal	src/configs/animation.ts:66
从左滑出	1	literal	src/configs/animation.ts:156
从左缩小滑出	1	literal	src/configs/animation.ts:174
从左缩小退出	1	literal	src/configs/animation.ts:146
从左飞入	1	literal	src/configs/animation.ts:93
从左飞出	1	literal	src/configs/animation.ts:184
从当前开始放映幻灯片	1	literal	src/configs/hotkey.ts:65
从当前页中提取	1	literal	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:91
从当前页开始	1	template	src/views/Editor/EditorHeader/index.vue:84
使用本地模板生成	1	template	src/views/Editor/AIPPTDialog.vue:5
使画布适应当前屏幕	1	literal	src/configs/hotkey.ts:80
倍速	1	literal	src/views/components/element/VideoElement/VideoPlayer/index.vue:80
倒三角形	1	literal	src/configs/imageClip.ts:78
倒梯形	1	literal	src/configs/imageClip.ts:174
元素操作	1	literal	src/configs/hotkey.ts:93
全屏	1	literal	src/views/Screen/PresenterView.vue:12
八边形	1	literal	src/configs/imageClip.ts:118
公司年会策划方案	1	literal	src/views/Editor/AIPPTDialog.vue:170
六边形	1	literal	src/configs/imageClip.ts:102
关	1	literal	src/views/components/element/VideoElement/VideoPlayer/index.vue:94
关闭弹窗	1	literal	src/configs/hotkey.ts:58
其他	1	literal	src/configs/animation.ts:205
其他快捷操作	1	literal	src/configs/hotkey.ts:139
内容	1	literal	src/views/Editor/Thumbnails/Templates.vue:70
减小段落缩进	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:238
减小首行缩进	1	template	src/views/Editor/Toolbar/common/RichTextBase.vue:241
切换上一页	1	literal	src/configs/hotkey.ts:66
切换焦点元素	1	literal	src/configs/hotkey.ts:104
列数：	1	template	src/views/Editor/CanvasTool/TableGenerator.vue:38
创建水平 / 垂直线条	1	literal	src/configs/hotkey.ts:103
删除当前点	1	literal	src/views/Editor/CanvasTool/SVGPathEditor.vue:562
删除此章	1	literal	src/components/OutlineEditor.vue:215
删除此节	1	literal	src/components/OutlineEditor.vue:231
删除此项	1	literal	src/components/OutlineEditor.vue:246
到上方	1	literal	src/views/components/element/TableElement/EditableTable.vue:745
到下方	1	literal	src/views/components/element/TableElement/EditableTable.vue:746
到右侧	1	literal	src/views/components/element/TableElement/EditableTable.vue:739
到左侧	1	literal	src/views/components/element/TableElement/EditableTable.vue:738
剪贴板为空或者不包含文本	1	literal	src/utils/clipboard.ts:35
区块链技术及其应用	1	literal	src/views/Editor/AIPPTDialog.vue:168
单元格填充	1	literal	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:53
双击空白处 / T	1	literal	src/configs/hotkey.ts:85
反平行四边形	1	literal	src/configs/imageClip.ts:158
取消合并单元格	1	literal	src/views/components/element/TableElement/EditableTable.vue:766
取色吸管初始化失败	1	literal	src/components/ColorPicker/index.vue:305
右侧插入列	1	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/TableToolbar.vue:22
右侧添加	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:136
合并单元格	1	literal	src/views/components/element/TableElement/EditableTable.vue:761
向上弹入	1	literal	src/configs/animation.ts:15
向上弹出	1	literal	src/configs/animation.ts:106
向上放大滑入	1	literal	src/configs/animation.ts:85
向上放大进入	1	literal	src/configs/animation.ts:57
向上浮入	1	literal	src/configs/animation.ts:30
向上浮出	1	literal	src/configs/animation.ts:121
向上滑入	1	literal	src/configs/animation.ts:67
向上滑出	1	literal	src/configs/animation.ts:158
向上缩小滑出	1	literal	src/configs/animation.ts:176
向上缩小退出	1	literal	src/configs/animation.ts:148
向上长距浮入	1	literal	src/configs/animation.ts:31
向上长距浮出	1	literal	src/configs/animation.ts:122
向下弹入	1	literal	src/configs/animation.ts:16
向下弹出	1	literal	src/configs/animation.ts:107
向下放大滑入	1	literal	src/configs/animation.ts:82
向下放大进入	1	literal	src/configs/animation.ts:54
向下浮入	1	literal	src/configs/animation.ts:24
向下浮出	1	literal	src/configs/animation.ts:115
向下滑入	1	literal	src/configs/animation.ts:64
向下滑出	1	literal	src/configs/animation.ts:155
向下缩小滑出	1	literal	src/configs/animation.ts:173
向下缩小退出	1	literal	src/configs/animation.ts:145
向下长距浮入	1	literal	src/configs/animation.ts:25
向下长距浮出	1	literal	src/configs/animation.ts:116
向右弹入	1	literal	src/configs/animation.ts:13
向右弹出	1	literal	src/configs/animation.ts:105
向右浮入	1	literal	src/configs/animation.ts:26
向右浮出	1	literal	src/configs/animation.ts:119
向右长距浮入	1	literal	src/configs/animation.ts:27
向右长距浮出	1	literal	src/configs/animation.ts:120
向左弹入	1	literal	src/configs/animation.ts:14
向左弹出	1	literal	src/configs/animation.ts:104
向左浮入	1	literal	src/configs/animation.ts:28
向左浮出	1	literal	src/configs/animation.ts:117
向左长距浮入	1	literal	src/configs/animation.ts:29
向左长距浮出	1	literal	src/configs/animation.ts:118
启用	1	literal	src/views/Editor/Canvas/index.vue:282
启用滤镜：	1	template	src/views/Editor/Toolbar/common/ElementFilter.vue:4
启用边框：	1	template	src/views/Editor/Toolbar/common/ElementOutline.vue:4
启用阴影：	1	template	src/views/Editor/Toolbar/common/ElementShadow.vue:4
图标颜色：	1	template	src/views/Editor/Toolbar/ElementStylePanel/AudioStylePanel.vue:4
图片库（来自 pexels.com）	1	literal	src/views/Editor/ImageLibPanel.vue:13
图表数据编辑	1	literal	src/configs/hotkey.ts:121
圆弧：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:207
圆角矩形	1	literal	src/configs/imageClip.ts:51
在上方插入一行	1	literal	src/configs/hotkey.ts:114
在下方插入一行	1	literal	src/configs/hotkey.ts:115
在下方输入您的PPT主题，并适当补充信息，如行业、岗位、学科、用途等	1	template	src/views/Editor/AIPPTDialog.vue:7
在右侧插入一列	1	literal	src/configs/hotkey.ts:117
在左侧插入一列	1	literal	src/configs/hotkey.ts:116
在线图库	1	template	src/views/Editor/CanvasTool/index.vue:73
坐标${index + 1}	1	literal	src/hooks/useImport.ts:1225
坐标1	1	literal	src/configs/chart.ts:51
坐标2	1	literal	src/configs/chart.ts:51
坐标3	1	literal	src/configs/chart.ts:51
坐标4	1	literal	src/configs/chart.ts:51
坐标5	1	literal	src/configs/chart.ts:51
垂直	1	literal	src/views/Editor/Toolbar/ElementStylePanel/LineStylePanel.vue:165
垂直半径：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:227
垂直均匀分布	1	template	src/views/Editor/Toolbar/MultiPositionPanel.vue:15
垂直阴影：	1	template	src/views/Editor/Toolbar/common/ElementShadow.vue:22
填充颜色：	1	template	src/views/Editor/Toolbar/MultiStylePanel.vue:4
增大段落缩进	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:248
增大首行缩进	1	template	src/views/Editor/Toolbar/common/RichTextBase.vue:251
多选	1	literal	src/configs/hotkey.ts:55
大学生职业生涯规划	1	literal	src/views/Editor/AIPPTDialog.vue:169
大数据如何改变世界	1	literal	src/views/Editor/AIPPTDialog.vue:162
大标题	1	literal	src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:173
字体需要等待加载下载后生效，请稍等	1	literal	src/views/components/element/ProsemirrorEditor.vue:133
字体：	1	template	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:11
字母	1	literal	src/configs/symbol.ts:4
学术风	1	literal	src/views/Editor/AIPPTDialog.vue:48
完成自定义形状绘制	1	literal	src/configs/hotkey.ts:106
宽高范围：500 ~ 2000	1	template	src/views/Editor/Toolbar/SlideDesignPanel/ViewportSizeSetting.vue:24
导出时默认忽略在线字体，若您在幻灯片中使用了在线字体，且希望导出后保留相关样式，可选择关闭「忽略在线字体」选项，但要注意这将会增加导出用时。	1	literal	src/views/Editor/ExportDialog/ExportImage.vue:62
导出时默认忽略音视频，若您的幻灯片中存在音视频元素，且希望将其导出到PPTX文件中，可选择关闭「忽略音视频」选项，但要注意这将会大幅增加导出用时。	1	literal	src/views/Editor/ExportDialog/ExportPPTX.vue:52
导出模式：	1	template	src/views/Editor/ExportDialog/ExportPPTX.vue:27
封面	1	literal	src/views/Editor/Thumbnails/Templates.vue:67
小标题	1	literal	src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:186
山河映红	1	literal	src/store/slides.ts:56
左侧插入列	1	template	src/views/Editor/Canvas/ElementFloatLayer/FloatingToolbar/TableToolbar.vue:21
左侧添加	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:135
左右摇晃	1	literal	src/configs/animation.ts:194
已经是最后一页了	1	literal	src/views/Screen/hooks/useExecPlay.ts:210
已经是第一页了	1	literal	src/views/Screen/hooks/useExecPlay.ts:193
平行四边形	1	literal	src/configs/imageClip.ts:150
年度工作总结与展望	1	literal	src/views/Editor/AIPPTDialog.vue:167
幻灯片 ${index + 1}	1	literal	src/views/Editor/Canvas/LinkDialog.vue:70
幻灯片 {{slideIndex + 1}} / {{slides.length}}	1	template	src/views/Screen/BaseView.vue:44
幻灯片${slideIndex + 1}的批注	1	literal	src/views/Editor/NotesPanel.vue:6
幻灯片主题色{{ index + 1 }}：	1	template	src/views/Editor/Toolbar/SlideDesignPanel/ThemeColorsSetting.vue:17
幻灯片主题：	1	template	src/views/Editor/Toolbar/ElementStylePanel/ChartStylePanel/index.vue:80
幻灯片编辑	1	literal	src/configs/hotkey.ts:73
幻灯片页面	1	literal	src/views/Editor/Canvas/LinkDialog.vue:86
幻灯片页面 {{elementInfo.link.target}}	1	template	src/views/Editor/Canvas/ElementFloatLayer/LinkHandler.vue:4
序号	1	literal	src/configs/symbol.ts:16
开	1	literal	src/views/components/element/VideoElement/VideoPlayer/index.vue:94
开始自动放映	1	literal	src/views/Screen/hooks/useExecPlay.ts:221
引用	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:121
弹入	1	literal	src/configs/animation.ts:12
弹出	1	literal	src/configs/animation.ts:103
当前色块：	1	template	src/views/Editor/Toolbar/ElementStylePanel/ShapeStylePanel.vue:64
当前页幻灯片	1	literal	src/views/Editor/NotesPanel.vue:65
得意黑	1	literal	src/configs/font.ts:12
循环{{loop ? '开' : '关'}}	1	template	src/views/components/element/VideoElement/VideoPlayer/index.vue:94
心跳（快）	1	literal	src/configs/animation.ts:211
快捷操作	1	template	src/views/Editor/EditorHeader/index.vue:106
快速创建圆形	1	literal	src/configs/hotkey.ts:87
快速创建文本	1	literal	src/configs/hotkey.ts:85
快速创建矩形	1	literal	src/configs/hotkey.ts:86
快速创建线条	1	literal	src/configs/hotkey.ts:88
快速复制	1	literal	src/configs/hotkey.ts:102
快速复制粘贴	1	literal	src/configs/hotkey.ts:50
思源宋体	1	literal	src/configs/font.ts:4
思源黑体	1	literal	src/configs/font.ts:3
恢复	1	literal	src/configs/hotkey.ts:53
惊恐	1	literal	src/configs/animation.ts:199
打印	1	literal	src/configs/hotkey.ts:57
打开搜索替换	1	literal	src/configs/hotkey.ts:56
扩写	1	template	src/views/Editor/Toolbar/common/RichTextBase.vue:130
扩写丰富	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:130
持续时长：	1	template	src/views/Editor/Toolbar/ElementAnimationPanel.vue:80
按 ESC 键关闭取色吸管	1	literal	src/components/ColorPicker/index.vue:220
按{{typeItem.label}}：	1	template	src/views/Editor/Toolbar/ElementStylePanel/ImageStylePanel.vue:28
按住 Ctrl + 拖拽	1	literal	src/configs/hotkey.ts:102
按形状：	1	template	src/views/Editor/Toolbar/ElementStylePanel/ImageStylePanel.vue:15
插入	1	template	src/views/Editor/ImageLibPanel.vue:51
插入全部	1	template	src/views/Editor/Thumbnails/Templates.vue:21
插入列	1	literal	src/views/components/element/TableElement/EditableTable.vue:736
插入行	1	literal	src/views/components/element/TableElement/EditableTable.vue:743
搜索	1	literal	src/components/Select.vue:76
搜索图片	1	literal	src/views/Editor/ImageLibPanel.vue:18
摆动	1	literal	src/configs/animation.ts:197
摇头	1	literal	src/configs/animation.ts:196
放大滑入	1	literal	src/configs/animation.ts:80
放大画布	1	literal	src/configs/hotkey.ts:78
放大进入	1	literal	src/configs/animation.ts:53
教育风	1	literal	src/views/Editor/AIPPTDialog.vue:50
文字颜色：	1	template	src/views/Editor/Toolbar/SlideDesignPanel/ThemeStylesExtract.vue:24
文本编辑	1	literal	src/configs/hotkey.ts:127
文本编辑 - 支持 markdown 语法创建列表和引用	1	literal	src/configs/hotkey.ts:147
文鼎PL宋体	1	literal	src/configs/font.ts:6
文鼎PL楷体	1	literal	src/configs/font.ts:5
新建幻灯片	1	literal	src/configs/hotkey.ts:75
旋转进入	1	literal	src/configs/animation.ts:42
旋转退出	1	literal	src/configs/animation.ts:133
旋转：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:239
日文	1	literal	src/views/Editor/AIPPTDialog.vue:36
日本語	1	literal	src/views/Editor/AIPPTDialog.vue:36
智感几何	1	literal	src/store/slides.ts:58
暖色复古	1	literal	src/store/slides.ts:61
更换	1	template	src/views/Editor/Canvas/ElementFloatLayer/LinkHandler.vue:6
更换动画	1	template	src/views/Editor/Toolbar/ElementAnimationPanel.vue:104
最后一列	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:179
最近使用：	1	template	src/components/ColorPicker/index.vue:65
服务器返回了非流响应	1	literal	src/services/fetch.ts:22
朱雀仿宋	1	literal	src/configs/font.ts:7
果冻	1	literal	src/configs/animation.ts:200
柔光莫兰迪	1	literal	src/store/slides.ts:59
查找替换	1	template	src/views/Editor/CanvasTool/index.vue:16
标准版	1	template	src/views/Editor/ExportDialog/ExportPPTX.vue:32
标题行	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:162
格式刷（双击连续使用）	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:147
梯形	1	literal	src/configs/imageClip.ts:166
模拟测试	1	literal	src/views/Editor/AIPPTDialog.vue:76
模糊距离：	1	template	src/views/Editor/Toolbar/common/ElementShadow.vue:33
横向文本框	1	template	src/views/Editor/CanvasTool/index.vue:40
橡皮大小：	1	template	src/views/Screen/WritingBoardTool.vue:74
橡皮筋	1	literal	src/configs/animation.ts:210
正文[小]	1	literal	src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:209
气泡菜单	1	literal	src/views/Editor/Canvas/index.vue:355
水平	1	literal	src/views/Editor/Toolbar/ElementStylePanel/LineStylePanel.vue:164
水平半径：	1	template	src/views/Editor/CanvasTool/SVGPathEditor.vue:217
水平均匀分布	1	template	src/views/Editor/Toolbar/MultiPositionPanel.vue:14
水平阴影：	1	template	src/views/Editor/Toolbar/common/ElementShadow.vue:11
汇总行	1	template	src/views/Editor/Toolbar/ElementStylePanel/TableStylePanel.vue:167
没有可以执行的文本内容	1	literal	src/views/Editor/Toolbar/common/RichTextBase.vue:346
注释 1	1	literal	src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:219
注释 2	1	literal	src/views/Editor/Toolbar/ElementStylePanel/TextStylePanel.vue:231
