file	line	text
src/views/Editor/Toolbar/ElementAnimationPanel.vue	46	<i-icon-park-outline:effects /> 添加动画
src/views/Editor/Toolbar/ElementPositionPanel.vue	38	水平：
src/views/Editor/Toolbar/ElementPositionPanel.vue	50	垂直：
src/views/Editor/Toolbar/ElementPositionPanel.vue	67	宽度：
src/views/Editor/Toolbar/ElementPositionPanel.vue	87	高度：
src/views/Editor/Toolbar/ElementPositionPanel.vue	106	旋转：
src/views/Editor/Toolbar/ElementStylePanel/ChartStylePanel/ThemeColorsSetting.vue	26	<i-icon-park-outline:plus /> 添加主题色
src/views/Editor/Toolbar/ElementStylePanel/ChartStylePanel/index.vue	4	<i-icon-park-outline:edit /> 编辑图表
src/views/Mobile/MobileEditor/SlideToolbar.vue	20	<i-icon-park-outline:picture class="icon" /> 图片
src/views/Screen/hooks/useFullscreen.ts	21	document.addEventListener('webkitfullscreenchange', handleFullscreenChange) // Safari 兼容
